id_empleado,periodo,horas_trabajadas,horas_facturables,horas_no_facturables,horas_extra,region,costo_hora,costo_laboral,tipo_costo,moneda,cliente,proyecto,porcentaje_asignacion,horas_cliente,costo_cliente
E001,2025-05,127,92,35,0,Europe,24.45,3105.15,Salario,USD,Cliente D,Omega,100.0,127.0,3105.15
E001,2025-06,151,118,33,0,Europe,24.45,3691.95,Salario,USD,Cliente D,Omega,100.0,151.0,3691.95
E001,2025-07,159,140,19,0,Europe,24.45,3887.55,Salario,USD,Cliente D,Omega,100.0,159.0,3887.55
E001,2025-08,103,68,35,0,Europe,24.45,2518.35,Salario,USD,Cliente D,Omega,100.0,103.0,2518.35
E001,2025-09,99,64,35,0,Europe,24.45,2420.55,Salario,USD,Cliente D,Omega,100.0,99.0,2420.55
E001,2025-10,161,120,41,1,Europe,24.45,3936.45,Salario,USD,Cliente D,Omega,100.0,161.0,3936.45
E001,2025-11,121,95,26,0,Europe,24.45,2958.45,Salario,USD,Cliente D,Omega,100.0,121.0,2958.45
E001,2025-12,128,79,49,0,Europe,24.45,3129.6,Salario,USD,Cliente D,Omega,100.0,128.0,3129.6
E002,2025-06,130,101,29,0,APAC,12.66,1645.8,Salario,USD,Cliente D,Omega,51.11,66.44,841.17
E002,2025-06,130,101,29,0,APAC,12.66,1645.8,Salario,USD,Cliente B,Delta,48.89,63.56,804.63
E002,2025-07,122,103,19,0,APAC,12.66,1544.52,Salario,USD,Cliente D,Omega,51.11,62.35,789.4
E002,2025-07,122,103,19,0,APAC,12.66,1544.52,Salario,USD,Cliente B,Delta,48.89,59.65,755.12
E002,2025-08,131,116,15,0,APAC,12.66,1658.46,Salario,USD,Cliente D,Omega,51.11,66.95,847.64
E002,2025-08,131,116,15,0,APAC,12.66,1658.46,Salario,USD,Cliente B,Delta,48.89,64.05,810.82
E002,2025-09,91,64,27,0,APAC,12.66,1152.06,Salario,USD,Cliente D,Omega,51.11,46.51,588.82
E002,2025-09,91,64,27,0,APAC,12.66,1152.06,Salario,USD,Cliente B,Delta,48.89,44.49,563.24
E002,2025-10,106,94,12,0,APAC,12.66,1341.96,Salario,USD,Cliente D,Omega,51.11,54.18,685.88
E002,2025-10,106,94,12,0,APAC,12.66,1341.96,Salario,USD,Cliente B,Delta,48.89,51.82,656.08
E002,2025-11,136,89,47,0,APAC,12.66,1721.76,Salario,USD,Cliente D,Omega,51.11,69.51,879.99
E002,2025-11,136,89,47,0,APAC,12.66,1721.76,Salario,USD,Cliente B,Delta,48.89,66.49,841.77
E002,2025-12,138,113,25,0,APAC,12.66,1747.08,Salario,USD,Cliente D,Omega,51.11,70.53,892.93
E002,2025-12,138,113,25,0,APAC,12.66,1747.08,Salario,USD,Cliente B,Delta,48.89,67.47,854.15
E003,2025-01,149,120,29,0,LATAM,22.63,3371.87,Salario,USD,Cliente D,Omega,100.0,149.0,3371.87
